2	189	255	66
4	336	2799	2463
6	2800	3733	933
8	3733	5020	1287
10	5233	5530	297
12	5682	6459	777
14	6528	7959	1431
16	8237	9191	954
18	9305	9893	588
20	9927	10494	567
22	10642	11356	714
24	11381	11786	405
26	12162	14079	1917
28	14167	15298	1131
30	15444	16557	1113
32	16750	16960	210
34	16750	16903	153
36	17488	18655	1167
38	18714	19620	906
40	19810	20314	504
42	20232	20508	276
44	20814	21078	264
46	21180	21399	219
48	21406	22348	942
50	22390	25207	2817
52	25206	25701	495
54	25825	26275	450
56	26276	27227	951
58	27292	28207	915
60	28373	29195	822
62	29650	30799	1149
64	30816	34038	3222
66	34299	34695	396
68	34780	35371	591
70	35376	36162	786
72	36270	37824	1554
74	37897	39115	1218
76	39243	40386	1143
78	40416	41931	1515
80	42402	43173	771
82	43187	44129	942
84	44179	45466	1287
86	45462	45750	288
88	45806	47138	1332
90	47245	47776	531
92	47768	49631	1863
94	49822	50302	480
96	50379	51222	843
98	51228	51606	378
100	51608	52430	822
102	52426	53416	990
104	53415	54702	1287
106	54754	57109	2355
108	57363	58179	816
110	58473	59052	579
110	59051	59279	228
112	59686	60346	660
114	60357	63264	2907
116	63428	65780	2352
118	65854	66550	696
120	66834	68337	1503
122	68347	70048	1701
124	70386	71265	879
126	71350	72115	765
128	72228	72927	699
130	72910	74521	1611
132	74496	75480	984
134	75643	77299	1656
136	77387	77519	132
138	77620	78799	1179
140	78847	79453	606
142	79463	80864	1401
144	80866	81958	1092
146	81957	83529	1572
148	83621	83708	87
150	84367	85312	945
152	85629	87354	1725
154	87356	87848	492
156	88027	89032	1005
158	89633	90092	459
160	90093	91035	942
162	91031	91397	366
164	91412	93179	1767
166	93165	94653	1488
168	94649	96008	1359
170	96001	97084	1083
172	97086	98403	1317
174	98402	99647	1245
176	99643	100711	1068
178	100764	102240	1476
180	102232	103153	921
182	103154	103985	831
184	103981	105244	1263
186	105304	106456	1152
188	106556	107474	918
190	107704	108217	513
192	108278	110984	2706
194	111043	111433	390
196	111648	111846	198
198	111855	112599	744
200	112598	113219	621
202	113443	114487	1044
204	114521	115724	1203
206	115713	117099	1386
208	117108	117549	441
210	117751	118645	894
212	118732	119284	552
214	119280	120135	855
216	120177	121551	1374
218	122091	122856	765
220	123016	125680	2664
222	125694	127587	1893
224	127911	129336	1425
226	129406	131260	1854
228	131614	134212	2598
230	134387	134750	363
232	134787	135582	795
234	135597	136464	867
236	136569	136917	348
238	137082	138633	1551
240	138834	141225	2391
242	141430	141967	537
244	142007	142670	663
246	142778	143705	927
248	143701	144472	771
250	144576	145017	441
252	145080	146310	1230
254	146313	146694	381
256	146967	147870	903
258	147943	148795	852
260	148806	149601	795
262	149714	150953	1239
264	151002	151599	597
266	151625	152231	606
268	152242	152812	570
270	152828	155426	2598
272	155460	156201	741
274	156298	156883	585
276	157252	157732	480
278	157728	159126	1398
280	159185	160112	927
282	160148	160604	456
284	160781	161486	705
286	161500	162031	531
288	162104	164534	2430
290	164729	167264	2535
292	167483	169727	2244
294	169777	170575	798
296	170574	171465	891
298	171461	173444	1983
300	173601	174882	1281
302	175106	176528	1422
304	176609	176954	345
306	177000	177624	624
308	177661	178462	801
310	178454	179153	699
312	179236	180754	1518
314	180883	182308	1425
316	182462	183620	1158
318	183708	184095	387
320	184256	185069	813
322	185122	185947	825
324	185977	188650	2673
326	188711	189506	795
328	189873	190599	726
330	190856	191708	852
332	191854	192580	726
334	192871	193429	558
336	193520	194717	1197
338	194902	195664	762
340	195676	196534	858
342	196545	197898	1353
344	197927	200360	2433
346	200481	200967	486
348	200970	201996	1026
350	202100	202556	456
352	202559	203348	789
